Open,High,Low,Close,Volume,Dividends,Stock Splits
0.09987381845712662,0.10030802835232158,0.09987381845712662,0.09987381845712662,469033600,0.0,0.0
0.09509753926778224,0.09509753926778224,0.09466332942247391,0.09466332942247391,175884800,0.0,0.0
0.0881494423652516,0.0881494423652516,0.08771523833274841,0.08771523833274841,105728000,0.0,0.0
0.08988627791404724,0.09032048778200134,0.08988627791404724,0.08988627791404724,86441600,0.0,0.0
0.09249231219291687,0.09292651630912492,0.09249231219291687,0.09249231219291687,73449600,0.0,0.0
0.09813695400953293,0.09857116374340015,0.09813695400953293,0.09813695400953293,48630400,0.0,0.0
0.10291324555873871,0.10334823221107033,0.10291324555873871,0.10291324555873871,37363200,0.0,0.0
0.10725611448287964,0.10769032436715366,0.10725611448287964,0.10725611448287964,46950400,0.0,0.0
0.1129007786512375,0.1133349884218976,0.1129007786512375,0.11290077865123749,48003200,0.0,0.0
0.12332253158092499,0.12375674139073646,0.12332253158092499,0.12332253158092499,55574400,0.0,0.0
0.12505938112735748,0.12549359101321508,0.12505938112735748,0.12505938112735748,93161600,0.0,0.0
0.12245412995229127,0.12245412995229127,0.1220199316740036,0.1220199316740036,68880000,0.0,0.0
0.1189804871633881,0.1189804871633881,0.11854627728462218,0.11854627728462219,35750400,0.0,0.0
0.11984894424676895,0.12071736435878139,0.11984894424676895,0.11984894424676895,21660800,0.0,0.0
0.11767787572830594,0.11767787572830594,0.1172436773777008,0.1172436773777008,35728000,0.0,0.0
0.11246654866948938,0.11246654866948938,0.11203233897686005,0.11203233897686005,45158400,0.0,0.0
0.10769032436715366,0.10769032436715366,0.10725611448287964,0.10725611448287964,55686400,0.0,0.0
0.10551929557947004,0.10551929557947004,0.1050850972533226,0.1050850972533226,39827200,0.0,0.0
0.11072975397109985,0.11116396379108205,0.11072975397109985,0.11072975397109985,21504000,0.0,0.0
0.11072978216714503,0.11072978216714503,0.10986137390136719,0.10986137390136719,23699200,0.0,0.0
0.10638770957238758,0.10638770957238758,0.10595349967479706,0.10595349967479706,23049600,0.0,0.0
0.1063876748085022,0.1068218845642077,0.1063876748085022,0.1063876748085022,14291200,0.0,0.0
0.10855870693922041,0.10942711481489946,0.10855870693922041,0.10855870693922043,14067200,0.0,0.0
0.10812449188012217,0.10812449188012217,0.10769028216600418,0.10769028216600418,13395200,0.0,0.0
0.11420339345932007,0.11463760321892152,0.11420339345932007,0.11420339345932007,41574400,0.0,0.0
0.11116396379108205,0.11116396379108205,0.11072975397109985,0.11072975397109985,30083200,0.0,0.0
0.1129007786512375,0.11376918659724243,0.1129007786512375,0.11290077865123749,15904000,0.0,0.0
0.11420339345932007,0.11507181297852298,0.11420339345932007,0.11420339345932007,35548800,0.0,0.0
0.11420341325933632,0.1146376230942189,0.11376920342445375,0.11376920342445374,11222400,0.0,0.0
0.11246654866948938,0.11246654866948938,0.11203233897686005,0.11203233897686005,24640000,0.0,0.0
0.11203239694875881,0.11203239694875881,0.11116398870944977,0.11116398870944977,23699200,0.0,0.0
0.10812449188012217,0.10812449188012217,0.10769028216600418,0.10769028216600418,28156800,0.0,0.0
0.10421666998402364,0.10421666998402364,0.10378246009349823,0.10378246009349823,43904000,0.0,0.0
0.09900537347726739,0.09900537347726739,0.09813695400953293,0.09813695400953293,46188800,0.0,0.0
0.09292651630912492,0.09292651630912492,0.09249231219291687,0.09249231219291687,23766400,0.0,0.0
0.0959659367799759,0.09640014075350979,0.0959659367799759,0.09596593677997589,19152000,0.0,0.0
0.0994395837187767,0.09987378185954623,0.0994395837187767,0.0994395837187767,27865600,0.0,0.0
0.0994395837187767,0.10030799159563011,0.0994395837187767,0.0994395837187767,7929600,0.0,0.0
0.09987381845712662,0.10030802835232158,0.09987381845712662,0.09987381845712662,13865600,0.0,0.0
0.09553174331543193,0.09553174331543193,0.09466332942247391,0.09466332942247391,16755200,0.0,0.0
0.09466332942247391,0.09509753926778224,0.09466332942247391,0.09466332942247391,18345600,0.0,0.0
0.09205809897088589,0.09205809897088589,0.09162389487028122,0.09162389487028122,13843200,0.0,0.0
0.09118968949344623,0.09118968949344623,0.09075470268726349,0.09075470268726349,14560000,0.0,0.0
0.08945209964645215,0.08945209964645215,0.08858368545770645,0.08858368545770645,11155200,0.0,0.0
0.09075470268726349,0.09118968949344623,0.09075470268726349,0.09075470268726349,12275200,0.0,0.0
0.09466332942247391,0.09553174331543193,0.09466332942247391,0.09466332942247391,19241600,0.0,0.0
0.08945206295593448,0.08945206295593448,0.08901785314083101,0.089017853140831,22310400,0.0,0.0
0.08467580126798224,0.08467580126798224,0.0842415913939476,0.0842415913939476,24371200,0.0,0.0
0.08554420620203018,0.08597841605972714,0.08554420620203018,0.08554420620203018,14112000,0.0,0.0
0.08337314051208665,0.08337314051208665,0.08250472694635391,0.08250472694635391,16979200,0.0,0.0
0.08771523833274841,0.0881494423652516,0.08771523833274841,0.08771523833274841,19488000,0.0,0.0
0.08901785314083101,0.08945206295593448,0.08901785314083101,0.089017853140831,10841600,0.0,0.0
0.09205807000398636,0.09292648372960084,0.09205807000398636,0.09205807000398636,14761600,0.0,0.0
0.09249231219291687,0.09292651630912492,0.09249231219291687,0.09249231219291687,11760000,0.0,0.0
0.09162390734220331,0.09162390734220331,0.09118969738483429,0.09118969738483429,16172800,0.0,0.0
0.09075470935585524,0.09075470935585524,0.09032050520181656,0.09032050520181656,13708800,0.0,0.0
0.09032048778200134,0.09032048778200134,0.08988627791404724,0.08988627791404724,5376000,0.0,0.0
